id,name,highway,oneway,defect_class,severity,tiger_reviewed,tiger_cfcc,tiger_name_base,surface,lanes,maxspeed
288064953,Apache Circle,residential,,B,HIGH,no,A41,Apache,,,
19064756,Ashwood Drive,residential,,B,HIGH,no,A41,Ashwood,,,
76966661,Ashwood Drive,residential,,B,HIGH,no,A41,Ashwood,,,
76966662,Ashwood Drive,residential,,B,HIGH,no,A41,Ashwood,,,
19066601,Barrow Avenue,residential,no,B,HIGH,no,A41,Barrow,asphalt,,
19066161,Bayberry Drive,residential,,B,HIGH,no,A41,Bayberry,,,
19066163,Bayberry Drive,residential,,B,HIGH,no,A41,Bayberry,,,
19071968,Beech Avenue,residential,,B,HIGH,no,A41,Beech,,,
19071969,Beech Avenue,residential,,B,HIGH,no,A41,Beech,,,
1149581953,Beech Avenue,residential,,B,HIGH,no,A41,Beech,,,
19052090,Beredith Place,residential,,B,HIGH,no,A41,Beredith,,,
19052091,Beredith Place,residential,,B,HIGH,no,A41,Beredith,,,
19068023,Blome Road,tertiary,,B,HIGH,no,A41,Blome,asphalt,2,35 mph
27499136,Blome Road,tertiary,,B,HIGH,no,A41,Blome,,2,35 mph
19052236,Blue Ash Road,secondary,,B,HIGH,no,A41,Blue Ash,,2,25 mph
23854352,Blue Ash Road,secondary,,B,HIGH,no,A41,Blue Ash,,3,25 mph
23854354,Blue Ash Road,secondary,,B,HIGH,no,A41,Blue Ash,,2,25 mph
442364452,Blue Ash Road,secondary,,B,HIGH,no,A41,Blue Ash,,3,25 mph
529042289,Blue Ash Road,tertiary,,B,HIGH,no,A41,Blue Ash,,3,25 mph
529042290,Blue Ash Road,tertiary,,B,HIGH,no,A41,Blue Ash,,2,25 mph
549055696,Blue Ash Road,secondary,,B,HIGH,no,A41,Blue Ash,,2,25 mph
549055697,Blue Ash Road,secondary,,B,HIGH,no,A41,Blue Ash,,3,25 mph
549055707,Blue Ash Road,secondary,,B,HIGH,no,A41,Blue Ash,,2,25 mph
549080939,Blue Ash Road,tertiary,,B,HIGH,no,A41,Blue Ash,,3,25 mph
549131465,Blue Ash Road,secondary,,B,HIGH,no,A41,Blue Ash,,4,25 mph
549131466,Blue Ash Road,secondary,,B,HIGH,no,A41,Blue Ash,,3,25 mph
549131471,Blue Ash Road,secondary,,B,HIGH,no,A41,Blue Ash,,3,25 mph
549131472,Blue Ash Road,secondary,,B,HIGH,no,A41,Blue Ash,,3,25 mph
549131473,Blue Ash Road,secondary,,B,HIGH,no,A41,Blue Ash,,3,25 mph
549131475,Blue Ash Road,secondary,,B,HIGH,no,A41,Blue Ash,,3,25 mph
549131476,Blue Ash Road,secondary,,B,HIGH,no,A41,Blue Ash,,3,25 mph
549131477,Blue Ash Road,secondary,,B,HIGH,no,A41,Blue Ash,,3,25 mph
549131490,Blue Ash Road,secondary,,B,HIGH,no,A41,Blue Ash,,3,25 mph
549131491,Blue Ash Road,secondary,,B,HIGH,no,A41,Blue Ash,,3,25 mph
549131493,Blue Ash Road,secondary,,B,HIGH,no,A41,Blue Ash,,3,25 mph
549131494,Blue Ash Road,secondary,,B,HIGH,no,A41,Blue Ash,,3,25 mph
549131495,Blue Ash Road,secondary,,B,HIGH,no,A41,Blue Ash,,2,25 mph
715188493,Blue Ash Road,secondary,,B,HIGH,no,A41,Blue Ash,,3,25 mph
715188494,Blue Ash Road,secondary,,B,HIGH,no,A41,Blue Ash,,2,25 mph
827467760,Blue Ash Road,secondary,,B,HIGH,no,A41,Blue Ash,,3,25 mph
827467761,Blue Ash Road,secondary,,B,HIGH,no,A41,Blue Ash,,3,25 mph
1149573220,Blue Ash Road,secondary,,B,HIGH,no,A41,Blue Ash,,3,25 mph
19068734,Bolser Drive,residential,,B,HIGH,no,A41,Bolser,,3,25 mph
372672317,Bolser Drive,residential,,B,HIGH,no,A41,Bolser,,,
672532567,Bolser Drive,residential,,B,HIGH,no,A41,Bolser,,,25 mph
1376683656,Bolser Drive,residential,,B,HIGH,no,A41,Bolser,,,25 mph
19064492,Brill Road,residential,,B,HIGH,no,A41,Brill,,2,
570461824,Brill Road,residential,no,B,HIGH,no,A41,Brill,asphalt,2,
19055784,Calvert Street,residential,,B,HIGH,no,A41,Calvert,,,
78289395,Calvert Street,residential,,B,HIGH,no,A41,Calvert,,,
78289396,Calvert Street,service,,B,HIGH,no,A41,Calvert,,,
